prix;prix_m2;type_bien;nb_pieces;surface;code_postal;ville
77000;1000;Maison;4;70;89210;Paroy-en-Othe
695000;6318;MAUGUIO;CENTREMAGNIFIQUE;110);34130;Mauguio
850000;5862;MAUGUIO;CENTREMAGNIFIQUE;145);34130;Mauguio
99000;1233;Appartement;3;73;87000;Limoges
198000;2217;Appartement;4;89;87000;Limoges
765000;3592;Maison;8;213;33380;Mios
897000;8081;Appartement;5;111;78000;Versailles
520000;7246;Appartement;2;69;78100;Saint-Germain-en-Laye
465000;6549;Appartement;3;71;92600;Asnières-sur-Seine
323000;7341;Appartement;2;44;94800;Villejuif
328000;3750;Appartement;4;84;93160;Noisy-le-Grand
370000;4419;Maison;4;84;69005;Lyon
219350;3937;Appartement;2;56;97435;Saint-Gilles
945000;5108;Maison;8;185;78290;Croissy-sur-Seine
795000;4274;Maison;8;186;69210;L'Arbresle
429900;2767;Maison;8;150;44360;Vigneux-de-Bretagne
