trip_id,departure,destination,duree
OCESN030100R0400418095,Obermodern,Niedermodern/Uberach,12
OCESN030103R0400418103,Bouxwiller-Babenhausen,Niedermodern/Uberach,20
OCESN030122R0600618127,Dossenheim-(Mairie),Obermodern,23
OCESN030123R0200218128,Saverne,Neuwiller-R.-Bouxwiller,18
OCESN030137R0300318141,Obermodern,Pfaffenhoffen-(Mairie).,8
OCESN030138R0500518142,Saverne,Pfaffenhoffen-(Mairie).,43
OCESN030148R0200218147,Strasbourg,Sélestat,53
OCESN030150R0200218149,Benfeld,Strasbourg,42
OCESN030157R0300318151,Colmar,Raedersheim,45
OCESN030163R0400418153,Buswiller-Eglise,Mommenheim,19
OCESN030164R0400418154,"Ettendorf-Pl,-de-L'ecol",Mommenheim,15
OCESN030165R0400418155,Ettendorf-(Angle-Pont),Mommenheim,13
OCESN030166R0300318156,Bouxwiller-Babenhausen,Mommenheim,30
OCESN030190R0200218175,Diemeringen,Sarreguemines,31
OCESN030191R0200218176,Sarreguemines,Strasbourg,125
OCESN030192R0300318178,Diemeringen,Strasbourg,91
OCESN030194R0200218180,Strasbourg,Wingen-sur-Moder,64
OCESN030200R0600618181,Ingwiller,Reipertswiller-SP.,18
OCESN030201R0500518183,Ingwiller,Lichtenberg-(Eglise).,23
OCESN030222R0200218199,Saverne,Strasbourg,57
OCESN030234R0400418205,Lutzelbourg,Saverne,15
OCESN030241R0200218207,Kruth,Thann Arrêt La Poste,32
OCESN030242R0200218208,Kruth,Mulhouse,77
OCESN030244R0200218210,Kruth,Thann,32
OCESN030250R0200218216,Kruth,Wesserling,7
OCESN030273R0300318231,Colmar,Metzeral,43
OCESN030283R0300318235,Cernay (Haut-Rhin),Sewen-(Eglise),60
OCESN030283R0400418236,Cernay-(Lycée),Sewen-(Eglise),66
OCESN030290R0200218239,Basel-SBB,Mulhouse,60
OCESN030302R0200218245,Ingwiller,Saverne-(Lycée-Verne),64
OCESN030303R0300318247,Frohmuhl- (Lavoir),Saverne-(Ht-Barr),83
OCESN030303R0400418246,Frohmuhl- (Lavoir),Saverne,58
OCESN030304R0300318249,Frohmuhl- (Lavoir),Saverne-(Lycée-Verne),85
OCESN030315R0300318255,Saverne,Hattmatt-S.-Polyvalente,20
OCESN030318R0200218258,Hattmatt-S.-Polyvalente,Saverne-(Pl.-Dragons),33
OCESN030319R0400418259,Hattmatt-S.-Polyvalente,Saverne-(Lycée-Verne),42
OCESN030320R0200218261,Hattmatt-S.-Polyvalente,Saverne-(Ht-Barr),43
OCESN030342R0300318275,Herrlisheim (Bas-Rhin),Strasbourg,51
OCESN030344R0400418278,Lauterbourg,Roeschwoog,30
OCESN030354R0200218282,Entzheim-Aéroport,Strasbourg,20
OCESN030355R0200218283,Barr,Molsheim,33
OCESN030357R0200218285,Molsheim,Strasbourg,40
